Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06239	Lck	2.53817466752022	0.97469413473523	3.51286880225545	3.67366413907125	-3.90104020423875	-3.96661286932749	0.129339666563813	18.1111111111111
P08631	HCK	2.24610307615526	0.97469413473523	3.22079721089049	3.67366413907125	-4.14382919301043	-4.17802427935294	0.149295713311818	12.3333333333333
P08922	Ros	1.74851621219066	0.97469413473523	2.72321034692589	2.70142280299616	-4.80061946812951	-4.80061946812951	0	4
P42679	CTK	1.27402015602756	0.97469413473523	2.24871429076279	2.27572413039921	-3.41295649134562	-3.41559188151211	0.156322967945181	23
P21860	HER3	1.13977705153977	0.97469413473523	2.114471186275	2.24230037491226	-3.25596175079821	-3.22485706421505	0.18402685249008	32.3333333333333
P09619	PDGFR[beta]	1.444339920513	0.97469413473523	2.41903405524823	2.22650610772903	-3.89041257325323	-3.77387979397295	0.17052352707988	9.55555555555556
P07948	Lyn	1.00858572836599	0.97469413473523	1.98327986310122	2.04019568349166	-3.53958754217195	-3.57111986203288	0.133348495916783	10.5555555555556
P12931	Src	1.07200066125918	0.97469413473523	2.04669479599441	2.01090630738967	-3.30544412197018	-3.3261193889235	0.109678531551942	21.8888888888889
O60674	JAK2	1.04879189293338	0.97469413473523	2.02348602766861	1.94938826947046	-3.35344123892115	-3.32411671257346	0.129959086997219	21.2222222222222
Q05397	FAK1	0.774809965679899	0.97469413473523	1.74950410041513	1.933301449577	-3.02821723242883	-3.07791774987977	0.238665279176951	34.3333333333333
P51451	BLK	0.865059648666604	0.97469413473523	1.83975378340183	1.92547611206505	-3.46440762703389	-3.56097514714704	0.331401975564305	13.2222222222222
P29597	Tyk2	0.943421060252162	0.97469413473523	1.91811519498739	1.91778928339876	-3.86902356374013	-3.86902356374013	0	5
P16591	Fer	0.940462004396751	0.97469413473523	1.91515613913198	1.87432358961767	-3.43894763015377	-3.48786147339412	0.518194252845994	10.4444444444444
P07947	Yes	0.815845987750609	0.97469413473523	1.79054012248584	1.82240579035217	-3.32785586389079	-3.33114606464623	0.124168000903616	14.7777777777778
P52333	JAK3	0.708481004454557	0.97469413473523	1.68317513918979	1.77057415207931	-3.50057260148625	-3.67716134304878	0.209408487180158	5.55555555555556
P51813	Etk/BMX	0.695695850810131	0.97469413473523	1.67038998554536	1.73916568782768	-3.13214898605876	-3.09548718357372	0.114355097999733	24.7777777777778
P29317	EphA2	0.716923321214237	0.97469413473523	1.69161745594947	1.71462274675015	-3.37019102085309	-3.33680714014245	0.125834045969384	8.44444444444444
P54753	EphB3	0.730487055782084	0.97469413473523	1.70518119051731	1.70518119051731	-3.69506601533184	-3.69506601533184	NA	3
P11362	FGFR1	0.5015317913067	0.97469413473523	1.47622592604193	1.66934276528861	-2.88242574387566	-3.18719598338707	0.401463548980142	14.1111111111111
P16234	PDGFR[alpha]	0.750839157140375	0.97469413473523	1.7255332918756	1.63227145391302	-3.79032474744246	-3.59406298614804	0.389444859192417	3.77777777777778
Q12866	Mer	0.589269168717361	0.97469413473523	1.56396330345259	1.61296629871764	-2.96337079471134	-3.02111103682881	0.134782398630843	39.7777777777778
P06241	Fyn	0.716221274037607	0.97469413473523	1.69091540877284	1.5873043083965	-3.41747939357869	-3.21574885961414	0.556819306160016	7.77777777777778
Q04912	Ron	0.563118079256221	0.97469413473523	1.53781221399145	1.56165673338482	-3.35387423421023	-3.40546449766158	0.142067108627919	4.5
P54762	EphB1	0.575523360835251	0.97469413473523	1.55021749557048	1.55481688473922	-3.57282557041626	-3.57282557041626	0	3
Q14289	FAK2	0.662620001375621	0.97469413473523	1.63731413611085	1.54655934070644	-3.15140617195701	-3.06095866734864	0.216335738084136	21.6666666666667
Q08881	ITK	0.480374441321493	0.97469413473523	1.45506857605672	1.50931128328681	-2.97831231934337	-3.05214771051451	0.192610612932512	27.6666666666667
P00519	Abl	0.474237934195581	0.97469413473523	1.44893206893081	1.48897270825365	-2.93152527690776	-2.93819327885039	0.0919728236325649	37.8888888888889
P22455	FGFR4	0.523577015610425	0.97469413473523	1.49827115034565	1.48614341823479	-3.01444630274965	-3.02703365632266	0.0934645692059074	20.2222222222222
